name,phone,ip_address,promo_used,name_pattern_score,ip_count,fraud_score,is_fraud
Lori Black,(405)114-1823,192.168.2.233,1,0,2,-1,Yes
John Rojas,(059)253-8975,192.168.2.5,6,0,6,-1,Yes
Joseph Johnson,001-918-110-5191x508,192.168.0.27,2,0,1,1,No
Michael Russell,671.383.0925,192.168.3.85,9,0,1,1,No
Andrew Cain Jr.,001-109-884-1995x9610,192.168.3.45,10,0,1,1,No
Larry Rios,+1-166-425-0403x142,192.168.2.189,2,0,1,1,No
Francis Chavez,(224)034-8418,192.168.3.223,1,0,1,1,No
David Summers,001-680-026-5253x804,192.168.3.211,6,0,1,1,No
John Lin,001-895-001-1253x5692,192.168.3.116,7,0,1,1,No
Adrian Alvarez,914.087.0734x65910,192.168.1.14,1,0,1,1,No
Kristopher Landry,(428)255-9373x7453,192.168.2.253,2,0,1,1,No
Lauren Gonzalez,827.470.6070x6298,192.168.2.124,6,0,2,-1,Yes
Allison Shaw,8976453555,192.168.2.28,1,0,5,-1,Yes
Kirk Edwards,593-348-3478,192.168.2.5,5,0,1,1,No
Paul Meyer,4596929175,192.168.3.221,10,0,1,1,No
Benjamin Martinez,664.060.2468x32278,192.168.2.73,4,0,1,1,No
Michael Smith,(827)831-0176x69418,192.168.3.205,8,0,2,-1,Yes
John Reynolds,(218)146-7902x34314,192.168.3.6,8,0,1,1,No
Michael Keller,001-595-568-5190x246,192.168.3.217,7,0,1,1,No
Donna Kennedy,549-944-5461x4993,192.168.1.84,2,0,1,1,No
Daniel Richards,+1-426-971-0982x57121,192.168.0.110,9,0,1,1,No
Kimberly Johnson,001-997-699-5713x015,192.168.1.111,1,0,4,-1,Yes
Brandon Baker,(056)251-3776x150,192.168.0.84,3,0,1,1,No
Robert Allen,001-223-567-9761,192.168.3.186,5,0,1,1,No
Mike Mcdaniel,(719)770-3621,192.168.0.15,4,0,1,1,No
Billy Daniel,001-479-482-7843x758,192.168.0.176,7,0,5,1,No
Teresa King,(031)569-9503,192.168.1.255,3,0,1,1,No
Michael Taylor,984-113-7640x67631,192.168.3.168,8,0,1,1,No
Dennis Campbell,001-936-879-8107x010,192.168.3.190,7,0,1,1,No
Jerry Bailey,001-944-557-9362,192.168.1.153,8,0,1,1,No
Cameron Guerrero,+1-449-787-0310x97107,192.168.0.252,6,0,5,-1,Yes
Jennifer Henderson,001-110-863-7580x95684,192.168.2.68,1,0,1,1,No
Stephen Hahn,001-890-202-5734x679,192.168.2.153,7,0,1,1,No
Edward Rogers,(644)837-9674,192.168.2.246,1,0,1,1,No
Meghan Chavez,+1-142-481-2234x0205,192.168.1.64,6,0,1,1,No
Marc Thomas,+1-024-470-0281x1307,192.168.2.128,2,0,4,1,No
Riley Ryan,324-798-0548x9509,192.168.3.20,7,0,1,1,No
Tonya Brewer,+1-515-991-1876x265,192.168.3.74,5,0,1,1,No
Julie Jackson,(008)366-1332x53699,192.168.3.79,3,0,1,1,No
Erika Wolf,642-442-9090x5351,192.168.1.105,5,0,1,1,No
John Green,975-452-5811x30927,192.168.1.197,3,0,1,1,No
